complaint_id,oem_id,complaint_date,affected_order_ids,product_type,defect_description,units_affected,root_cause_identified,8D_submitted,resolution,financial_impact_inr,status,repeat_complaint,warranty_claim,remarks
C0021,OEM-BAJAJ,2024-09-02,"D-5401,D-9401,D-3778,D-1357",Brake Pad Type B,Friction material detached after 3000 km field use,291,Incorrect cure temp - night shift,Pending,,419161,Closed,N,Y,Field visit completed
C0022,OEM-MARUTI,2022-04-10,"D-3413,D-1901",Clutch Plate,Corrosion observed on disc surface - field report,228,Supplier batch below spec,Yes,Full recall + replacement dispatched,62444,Closed,Y,N,Escalated to GM QA
C0023,OEM-MAHINDRA,2023-02-10,"D-3431,D-6222,D-4968,D-2860",Wheel Hub Assy,Crack on brake drum casting - 6 bar air test fail,306,Incorrect cure temp - night shift,Pending,Process parameter locked; re-training done,468312,Open,Y,Y,
C0024,OEM-FORD,2023-11-14,D-3712,Wheel Hub Assy,Crack on brake drum casting - 6 bar air test fail,367,Machine tool wear - spindle runout,Pending,Scrap & re-order from alternate supplier,154364,Closed,,Y,Field visit completed
C0025,OEM-MAHINDRA,2021-06-22,D-2330,Brake Pad Type A,Friction material detached after 3000 km field use,163,Resin expiry date exceeded,Yes,Preventive maintenance completed,179949,Open,N,Y,Escalated to GM QA
C0026,OEM-MAHINDRA,2024-05-18,D-1677,Wheel Hub Assy,Surface delamination - units rejected at incoming QC,14,Incorrect cure temp - night shift,Yes,,308940,Closed,N,Y,Field visit completed
C0027,OEM-BAJAJ,2022-12-05,"D-3993,D-3277",CV Joint,Surface delamination - units rejected at incoming QC,491,Resin expiry date exceeded,Pending,Full recall + replacement dispatched,278263,In Progress,Y,Y,Repeat issue - CAPA overdue
C0028,OEM-BAJAJ,2024-09-29,D-2783,Clutch Plate,Corrosion observed on disc surface - field report,123,Batch mix ratio deviation,Yes,100% inspection implemented,19205,Closed,Y,N,Closed with customer sign-off
C0029,OEM-HONDA,2022-07-12,D-4336,Brake Pad Type A,Dimensional out-of-spec - ID oversize by 0.12 mm,115,Under investigation,Pending,Full recall + replacement dispatched,49677,In Progress,Y,N,Field visit completed
C0030,OEM-TVS,2021-04-04,"D-2893,D-2637,D-3460,D-2910",CV Joint,Dimensional out-of-spec - ID oversize by 0.12 mm,347,Coolant contamination in grinding,No,Root cause under investigation,394232,In Progress,N,Y,OEM issued debit note
C0031,OEM-FORD,2021-08-10,"D-2974,D-1289,D-4016,D-4065",Brake Disc,Vibration at highway speeds - rotor runout > 0.05 mm,470,Machine tool wear - spindle runout,No,Preventive maintenance completed,147528,Closed,N,N,Field visit completed
C0032,OEM-SUZUKI,2023-11-29,"D-3431,D-1294,D-4111",Brake Shoe,Friction material detached after 3000 km field use,196,Batch mix ratio deviation,,Root cause under investigation,110879,Open,Y,N,Escalated to GM QA
C0033,OEM-RENAULT,2021-09-05,"D-3944,D-3106,D-1357,D-3620",CV Joint,Vibration at highway speeds - rotor runout > 0.05 mm,164,Resin expiry date exceeded,No,,370524,In Progress,N,N,Escalated to GM QA
C0034,OEM-HONDA,2021-04-17,"D-1628,D-3324",Brake Pad Type A,Noise complaint - squeal at low speed braking,133,Resin expiry date exceeded,Yes,Rework and re-inspect,256647,Closed,,N,Closed with customer sign-off
C0035,OEM-MARUTI,2023-06-22,"D-2532,D-2004,D-3286",Wheel Hub Assy,Friction material detached after 3000 km field use,455,Incorrect cure temp - night shift,Yes,Root cause under investigation,350091,Closed,Y,Y,OEM issued debit note
C0036,OEM-HONDA,2023-08-01,D-2764,CV Joint,Surface delamination - units rejected at incoming QC,165,Batch mix ratio deviation,Pending,100% inspection implemented,179405,Escalated,N,N,Customer requested urgent resolution
C0037,OEM-HONDA,2021-10-12,"D-3614,D-2943",Brake Pad Type B,Vibration at highway speeds - rotor runout > 0.05 mm,243,Chiller fault - mould temp swing,,,362076,In Progress,Y,Y,Customer requested urgent resolution
C0038,OEM-BAJAJ,2024-06-05,"D-4441,D-4452,D-4446",Brake Pad Type B,Surface delamination - units rejected at incoming QC,20,Chiller fault - mould temp swing,Pending,Rework and re-inspect,374661,In Progress,Y,Y,Customer requested urgent resolution
C0039,OEM-RENAULT,2024-12-17,"D-2160,D-1094,D-4174",CV Joint,Crack on brake drum casting - 6 bar air test fail,152,Incoming lot moisture > 0.5%,No,Preventive maintenance completed,382211,Closed,Y,N,Escalated to GM QA
C0040,OEM-HONDA,2023-05-15,D-3341,Drum Brake Assy,Vibration at highway speeds - rotor runout > 0.05 mm,369,Coolant contamination in grinding,No,Scrap & re-order from alternate supplier,294898,Closed,,N,Customer requested urgent resolution
C0041,OEM-FORD,2023-07-04,"D-2498,D-3367",Wheel Hub Assy,Crack on brake drum casting - 6 bar air test fail,485,,Yes,,62761,Closed,N,N,Field visit completed
C0042,OEM-MARUTI,2024-01-10,"D-1088,D-1203,D-6397",Brake Disc,Vibration at highway speeds - rotor runout > 0.05 mm,231,Batch mix ratio deviation,No,,124385,Closed,N,Y,Escalated to GM QA
C0043,OEM-HYUNDAI,2022-04-30,"D-4297,D-5460,D-1427,D-2684",Brake Disc,Friction material detached after 3000 km field use,452,Under investigation,No,Corrective action plan submitted,128286,In Progress,N,Y,Escalated to GM QA
C0044,OEM-HONDA,2023-09-10,"D-4000,D-1337,D-1359",Brake Pad Type B,Clutch slip - insufficient torque capacity,367,Coolant contamination in grinding,,Rework and re-inspect,48296,Closed,N,N,Escalated to GM QA
C0045,OEM-MARUTI,2022-01-02,"D-1490,D-4108",ABS Sensor Ring,Surface delamination - units rejected at incoming QC,156,Batch mix ratio deviation,Yes,Preventive maintenance completed,383070,Closed,N,N,OEM issued debit note
C0046,OEM-FORD,2022-09-07,"D-1278,D-1784",Disc Brake Caliper,Dimensional out-of-spec - ID oversize by 0.12 mm,83,Batch mix ratio deviation,No,Root cause under investigation,435241,Escalated,Y,N,Field visit completed
C0047,OEM-RENAULT,2022-06-29,"D-2022,D-4408,D-4275,D-1195",Brake Pad Type A,ABS sensor ring missing teeth - 12 units,299,Calibration lapse - gauge not zeroed,No,100% inspection implemented,461267,Closed,Y,N,Repeat issue - CAPA overdue
C0048,OEM-TVS,2023-03-12,"D-4177,D-3585,D-8162",Wheel Hub Assy,Dimensional out-of-spec - ID oversize by 0.12 mm,450,Coolant contamination in grinding,No,100% inspection implemented,478364,Closed,N,N,Escalated to GM QA
C0049,OEM-BAJAJ,2021-04-26,"D-4453,D-1370",Brake Pad Type A,Clutch slip - insufficient torque capacity,117,Batch mix ratio deviation,Yes,100% inspection implemented,381460,Closed,,,Escalated to GM QA
C0050,OEM-BAJAJ,2021-06-03,"D-7115,D-3078,D-2656,D-1902",Disc Brake Caliper,Surface delamination - units rejected at incoming QC,338,Supplier batch below spec,Pending,Corrective action plan submitted,444012,Escalated,Y,N,Customer requested urgent resolution
C0051,OEM-MARUTI,2023-03-17,"D-1804,D-3140",Drum Brake Assy,Friction material detached after 3000 km field use,379,Chiller fault - mould temp swing,Pending,Full recall + replacement dispatched,242828,Closed,Y,Y,Customer requested urgent resolution
C0052,OEM-MARUTI,2021-07-24,D-3894,Brake Pad Type B,Crack on brake drum casting - 6 bar air test fail,409,Chiller fault - mould temp swing,Yes,Preventive maintenance completed,105393,Closed,N,Y,Escalated to GM QA
C0053,OEM-FORD,2021-03-28,"D-3251,D-2266",CV Joint,Friction material detached after 3000 km field use,220,Incoming lot moisture > 0.5%,,,172104,Closed,Y,Y,Repeat issue - CAPA overdue
C0054,OEM-HONDA,2021-01-17,"D-1973,D-6076,D-2291,D-2094",CV Joint,Vibration at highway speeds - rotor runout > 0.05 mm,403,Batch mix ratio deviation,Pending,Process parameter locked; re-training done,350144,Closed,N,Y,Escalated to GM QA
C0055,OEM-RENAULT,2022-01-23,"D-3268,D-2443,D-1337,D-2732",Disc Brake Caliper,Clutch slip - insufficient torque capacity,2,Calibration lapse - gauge not zeroed,No,Root cause under investigation,341541,Closed,N,N,OEM issued debit note
C0056,OEM-FORD,2021-10-23,"D-3422,D-1678",Clutch Plate,Corrosion observed on disc surface - field report,418,Operator error - wrong die inserted,Yes,Root cause under investigation,346686,Closed,N,Y,OEM issued debit note
C0057,OEM-TVS,2023-07-23,"D-1867,D-1474",Brake Shoe,Noise complaint - squeal at low speed braking,315,Supplier batch below spec,Yes,Corrective action plan submitted,282313,In Progress,,Y,OEM issued debit note
C0058,OEM-TVS,2024-09-24,"D-5812,D-3109,D-2291",ABS Sensor Ring,ABS sensor ring missing teeth - 12 units,159,Chiller fault - mould temp swing,No,Full recall + replacement dispatched,195416,Closed,N,,Field visit completed
C0059,OEM-FORD,2022-01-19,"D-4018,D-3443,D-1317,D-8268",CV Joint,Friction material detached after 3000 km field use,434,Under investigation,Pending,Corrective action plan submitted,117528,Closed,N,N,Escalated to GM QA
C0060,OEM-HONDA,2023-01-24,"D-4399,D-2863",Brake Pad Type A,Vibration at highway speeds - rotor runout > 0.05 mm,170,Batch mix ratio deviation,No,Full recall + replacement dispatched,118509,Closed,Y,N,Closed with customer sign-off
C0061,OEM-TATA,2023-10-30,D-3942,Brake Pad Type A,Dimensional out-of-spec - ID oversize by 0.12 mm,127,Operator error - wrong die inserted,No,Rework and re-inspect,242603,Escalated,N,N,Escalated to GM QA
C0062,OEM-MAHINDRA,2024-07-24,D-5909,Wheel Hub Assy,Corrosion observed on disc surface - field report,137,Incorrect cure temp - night shift,No,Full recall + replacement dispatched,418980,In Progress,Y,N,Closed with customer sign-off
C0063,OEM-HYUNDAI,2022-04-22,"D-3613,D-1236,D-3815",Brake Shoe,Clutch slip - insufficient torque capacity,275,Coolant contamination in grinding,No,Scrap & re-order from alternate supplier,332648,In Progress,Y,,
C0064,OEM-FORD,2021-05-04,"D-2073,D-2151,D-1504,D-2915",Brake Disc,Surface delamination - units rejected at incoming QC,17,Incoming lot moisture > 0.5%,Yes,,343973,Closed,N,,Customer requested urgent resolution
C0065,OEM-BAJAJ,2024-10-29,"D-4589,D-2739",Brake Pad Type B,Crack on brake drum casting - 6 bar air test fail,404,Machine tool wear - spindle runout,No,Preventive maintenance completed,279012,Closed,Y,N,Repeat issue - CAPA overdue
C0066,OEM-MARUTI,2022-02-04,D-1510,Clutch Plate,Crack on brake drum casting - 6 bar air test fail,375,Calibration lapse - gauge not zeroed,Yes,Corrective action plan submitted,291518,In Progress,Y,N,Closed with customer sign-off
C0067,OEM-MAHINDRA,2021-04-16,D-3527,Clutch Plate,Clutch slip - insufficient torque capacity,135,Incoming lot moisture > 0.5%,Pending,100% inspection implemented,290474,In Progress,Y,N,Repeat issue - CAPA overdue
C0068,OEM-TATA,2024-05-19,"D-1940,D-1419,D-6263,D-6824",CV Joint,Oil contamination on lining surface,37,Coolant contamination in grinding,Pending,Preventive maintenance completed,5831,Closed,N,Y,Closed with customer sign-off
C0069,OEM-SUZUKI,2021-08-13,"D-3219,D-1645",Brake Pad Type A,Surface delamination - units rejected at incoming QC,371,Incorrect cure temp - night shift,Yes,Root cause under investigation,46886,Closed,N,N,Closed with customer sign-off
C0070,OEM-HONDA,2022-03-10,"D-3241,D-2969",Disc Brake Caliper,ABS sensor ring missing teeth - 12 units,68,Chiller fault - mould temp swing,,Full recall + replacement dispatched,81948,Open,,Y,Customer requested urgent resolution
C0071,OEM-TATA,2023-04-12,"D-1804,D-2863,D-3613",Clutch Plate,Friction material detached after 3000 km field use,124,Resin expiry date exceeded,No,Corrective action plan submitted,492160,Closed,Y,Y,Closed with customer sign-off
C0072,OEM-RENAULT,2023-11-12,"D-1322,D-3470,D-3584",Drum Brake Assy,Crack on brake drum casting - 6 bar air test fail,226,Resin expiry date exceeded,Pending,100% inspection implemented,34772,Closed,N,,Repeat issue - CAPA overdue
C0073,OEM-MAHINDRA,2022-03-13,"D-5571,D-4023,D-3472,D-1175",Clutch Plate,Corrosion observed on disc surface - field report,285,Incoming lot moisture > 0.5%,Pending,Root cause under investigation,320500,Closed,N,N,Closed with customer sign-off
C0074,OEM-RENAULT,2024-11-04,"D-3118,D-1416",ABS Sensor Ring,Vibration at highway speeds - rotor runout > 0.05 mm,398,Batch mix ratio deviation,Yes,Scrap & re-order from alternate supplier,392403,Closed,,Y,Escalated to GM QA
C0075,OEM-RENAULT,2023-09-27,D-4446,Brake Shoe,Dimensional out-of-spec - ID oversize by 0.12 mm,20,Resin expiry date exceeded,No,Scrap & re-order from alternate supplier,345401,In Progress,N,,Closed with customer sign-off
C0076,OEM-SUZUKI,2023-06-14,"D-1221,D-2011,D-1233",Drum Brake Assy,Clutch slip - insufficient torque capacity,455,Supplier batch below spec,No,,143097,Closed,,Y,Customer requested urgent resolution
C0077,OEM-RENAULT,2021-12-23,D-3190,Wheel Hub Assy,ABS sensor ring missing teeth - 12 units,370,Machine tool wear - spindle runout,,Scrap & re-order from alternate supplier,80877,In Progress,Y,N,Escalated to GM QA
C0078,OEM-HYUNDAI,2023-10-22,"D-4441,D-3565,D-3711",ABS Sensor Ring,Dimensional out-of-spec - ID oversize by 0.12 mm,131,Incoming lot moisture > 0.5%,No,Process parameter locked; re-training done,441698,Closed,Y,Y,Escalated to GM QA
C0079,OEM-FORD,2023-12-07,"D-3011,D-2872,D-1474,D-1306",ABS Sensor Ring,Noise complaint - squeal at low speed braking,97,,No,Process parameter locked; re-training done,444445,Open,Y,Y,Field visit completed
C0080,OEM-MAHINDRA,2024-12-14,"D-1941,D-2022,D-2999",Disc Brake Caliper,Noise complaint - squeal at low speed braking,183,Batch mix ratio deviation,Yes,Process parameter locked; re-training done,177832,Closed,N,N,OEM issued debit note
C0081,OEM-HYUNDAI,2024-07-08,"D-2810,D-2413,D-3910,D-2768",Drum Brake Assy,ABS sensor ring missing teeth - 12 units,377,Calibration lapse - gauge not zeroed,Pending,Corrective action plan submitted,363507,Open,Y,Y,Repeat issue - CAPA overdue
C0082,OEM-TATA,2023-11-24,"D-2358,D-1332,D-4239",Brake Pad Type B,Friction material detached after 3000 km field use,97,Batch mix ratio deviation,Yes,Preventive maintenance completed,86002,Closed,Y,N,Repeat issue - CAPA overdue
C0083,OEM-TVS,2021-01-23,"D-1622,D-3959,D-3663,D-2859",ABS Sensor Ring,Corrosion observed on disc surface - field report,310,Operator error - wrong die inserted,Pending,Process parameter locked; re-training done,92060,Escalated,,N,Escalated to GM QA
C0084,OEM-HONDA,2023-10-28,"D-1335,D-4436,D-1253,D-1026",Brake Disc,Clutch slip - insufficient torque capacity,392,Supplier batch below spec,Yes,Root cause under investigation,74558,In Progress,Y,Y,Closed with customer sign-off
C0085,OEM-TATA,2024-10-20,D-2599,Disc Brake Caliper,Corrosion observed on disc surface - field report,320,Supplier batch below spec,Yes,100% inspection implemented,249967,In Progress,Y,,Field visit completed
C0086,OEM-MARUTI,2022-07-01,"D-2080,D-4497,D-2952,D-1162",ABS Sensor Ring,Dimensional out-of-spec - ID oversize by 0.12 mm,452,Incoming lot moisture > 0.5%,No,Preventive maintenance completed,478727,Closed,N,N,Customer requested urgent resolution
C0087,OEM-SUZUKI,2021-03-03,"D-2893,D-1351,D-4612",Brake Pad Type B,Dimensional out-of-spec - ID oversize by 0.12 mm,372,Supplier batch below spec,No,Scrap & re-order from alternate supplier,413198,Escalated,Y,,Field visit completed
C0088,OEM-TVS,2021-12-14,"D-4035,D-3665,D-5251",ABS Sensor Ring,ABS sensor ring missing teeth - 12 units,169,Resin expiry date exceeded,No,Full recall + replacement dispatched,329131,In Progress,N,Y,Closed with customer sign-off
C0089,OEM-TATA,2022-12-12,"D-4434,D-1502",Drum Brake Assy,Noise complaint - squeal at low speed braking,281,,No,Corrective action plan submitted,182935,Open,Y,N,Repeat issue - CAPA overdue
C0090,OEM-SUZUKI,2024-08-22,"D-5378,D-4497,D-3104",ABS Sensor Ring,ABS sensor ring missing teeth - 12 units,286,Supplier batch below spec,Yes,Scrap & re-order from alternate supplier,386724,Closed,N,Y,Escalated to GM QA
C0091,OEM-SUZUKI,2024-04-13,"D-4260,D-3837,D-2304,D-3707",Brake Pad Type B,Vibration at highway speeds - rotor runout > 0.05 mm,167,Chiller fault - mould temp swing,Yes,100% inspection implemented,429797,Closed,Y,Y,Escalated to GM QA
C0092,OEM-HONDA,2023-11-10,"D-3237,D-4288,D-3382",Drum Brake Assy,Clutch slip - insufficient torque capacity,474,Incoming lot moisture > 0.5%,Yes,Rework and re-inspect,34553,Open,Y,Y,Field visit completed
C0093,OEM-FORD,2022-01-26,"D-3319,D-5558,D-3731,D-4347",Clutch Plate,Oil contamination on lining surface,444,Coolant contamination in grinding,Pending,100% inspection implemented,88622,Closed,Y,N,OEM issued debit note
C0094,OEM-BAJAJ,2024-07-30,"D-3254,D-2401",Clutch Plate,ABS sensor ring missing teeth - 12 units,106,Incoming lot moisture > 0.5%,Pending,Rework and re-inspect,439852,Escalated,N,N,
C0095,OEM-HYUNDAI,2021-03-08,"D-1605,D-4351,D-3454",Clutch Plate,Crack on brake drum casting - 6 bar air test fail,264,Incoming lot moisture > 0.5%,Pending,100% inspection implemented,161863,Open,N,Y,OEM issued debit note
C0096,OEM-HONDA,2022-09-07,"D-4128,D-3260,D-3042,D-2535",Brake Shoe,Friction material detached after 3000 km field use,162,Incorrect cure temp - night shift,Yes,Corrective action plan submitted,386627,Closed,N,N,Repeat issue - CAPA overdue
C0097,OEM-MARUTI,2022-07-04,"D-3667,D-2784,D-2991,D-3795",ABS Sensor Ring,Corrosion observed on disc surface - field report,30,Batch mix ratio deviation,No,Full recall + replacement dispatched,461616,Open,N,N,Escalated to GM QA
C0098,OEM-RENAULT,2022-08-30,"D-1783,D-5513,D-3661,D-3255",Clutch Plate,Oil contamination on lining surface,273,Supplier batch below spec,Pending,Scrap & re-order from alternate supplier,155460,Closed,N,N,Closed with customer sign-off
C0099,OEM-TATA,2023-03-26,"D-3998,D-3374,D-3957,D-2219",CV Joint,Clutch slip - insufficient torque capacity,1,Operator error - wrong die inserted,Yes,Preventive maintenance completed,120800,Closed,Y,Y,Repeat issue - CAPA overdue
C0100,OEM-SUZUKI,2022-05-07,"D-1579,D-5329",CV Joint,Corrosion observed on disc surface - field report,76,Chiller fault - mould temp swing,Yes,Corrective action plan submitted,227875,Closed,N,Y,Repeat issue - CAPA overdue
C0101,OEM-RENAULT,2023-04-25,"D-2316,D-4438,D-4117",Clutch Plate,Noise complaint - squeal at low speed braking,381,Supplier batch below spec,,Root cause under investigation,50190,Closed,N,Y,Escalated to GM QA
C0102,OEM-FORD,2024-09-27,"D-1399,D-4496,D-3134,D-2951",CV Joint,Surface delamination - units rejected at incoming QC,10,Batch mix ratio deviation,No,100% inspection implemented,400149,In Progress,Y,N,Field visit completed
C0103,OEM-HONDA,2022-05-04,"D-4465,D-1548,D-1818",Disc Brake Caliper,Clutch slip - insufficient torque capacity,435,Calibration lapse - gauge not zeroed,No,Corrective action plan submitted,454488,In Progress,N,N,Field visit completed
C0104,OEM-MARUTI,2023-12-26,"D-3864,D-4370",Clutch Plate,Clutch slip - insufficient torque capacity,309,Chiller fault - mould temp swing,Pending,Full recall + replacement dispatched,196201,Closed,N,Y,Closed with customer sign-off
C0105,OEM-MARUTI,2024-02-06,"D-2412,D-3753,D-3287,D-1319",Brake Shoe,ABS sensor ring missing teeth - 12 units,178,Incoming lot moisture > 0.5%,No,Preventive maintenance completed,92338,Closed,Y,,Field visit completed
C0106,OEM-TATA,2021-07-31,"D-3706,D-4366",Clutch Plate,Surface delamination - units rejected at incoming QC,155,Coolant contamination in grinding,No,Full recall + replacement dispatched,225104,Escalated,Y,N,Closed with customer sign-off
C0107,OEM-HYUNDAI,2022-06-18,"D-1616,D-2628",Brake Shoe,Friction material detached after 3000 km field use,61,Chiller fault - mould temp swing,Yes,Corrective action plan submitted,432900,Closed,Y,Y,Closed with customer sign-off
C0108,OEM-BAJAJ,2024-07-03,"D-1631,D-3879",Clutch Plate,Dimensional out-of-spec - ID oversize by 0.12 mm,191,Operator error - wrong die inserted,No,,137885,Escalated,N,,Field visit completed
C0109,OEM-HYUNDAI,2023-06-27,"D-3145,D-5047",CV Joint,Oil contamination on lining surface,81,Resin expiry date exceeded,Pending,Process parameter locked; re-training done,183229,Closed,N,N,Field visit completed
C0110,OEM-SUZUKI,2022-12-17,"D-5359,D-2195,D-1237,D-2227",Brake Disc,Friction material detached after 3000 km field use,296,Calibration lapse - gauge not zeroed,No,100% inspection implemented,482331,Open,Y,N,Field visit completed
C0111,OEM-TVS,2024-01-16,"D-1907,D-3459,D-1365,D-3962",Brake Pad Type B,Dimensional out-of-spec - ID oversize by 0.12 mm,37,Under investigation,Yes,,268777,Open,Y,N,Escalated to GM QA
C0112,OEM-SUZUKI,2022-05-07,"D-1310,D-3760,D-3918,D-2500",ABS Sensor Ring,Corrosion observed on disc surface - field report,286,Coolant contamination in grinding,Yes,Rework and re-inspect,95034,Open,Y,N,Escalated to GM QA
C0113,OEM-HONDA,2023-03-25,"D-3298,D-3334,D-3607,D-2955",Brake Disc,ABS sensor ring missing teeth - 12 units,39,Coolant contamination in grinding,Yes,Root cause under investigation,294255,Escalated,Y,N,OEM issued debit note
C0114,OEM-HONDA,2024-02-15,"D-3162,D-2637,D-2275",Brake Disc,Noise complaint - squeal at low speed braking,457,Chiller fault - mould temp swing,Yes,Process parameter locked; re-training done,263509,Closed,N,N,OEM issued debit note
C0115,OEM-BAJAJ,2023-01-22,"D-2515,D-3601,D-2302",Drum Brake Assy,Clutch slip - insufficient torque capacity,150,,Pending,,31717,Closed,,N,Escalated to GM QA
C0116,OEM-SUZUKI,2022-05-02,D-3244,ABS Sensor Ring,Friction material detached after 3000 km field use,334,Under investigation,Pending,,452674,Closed,N,N,Repeat issue - CAPA overdue
C0117,OEM-HYUNDAI,2021-10-15,"D-3464,D-3204,D-1074,D-3436",Disc Brake Caliper,Surface delamination - units rejected at incoming QC,306,Machine tool wear - spindle runout,Pending,Corrective action plan submitted,100878,Escalated,,Y,Escalated to GM QA
C0118,OEM-MAHINDRA,2021-09-20,"D-2356,D-4340,D-4451,D-1298",Disc Brake Caliper,Noise complaint - squeal at low speed braking,265,Calibration lapse - gauge not zeroed,Pending,Full recall + replacement dispatched,329593,Closed,N,Y,Escalated to GM QA
C0119,OEM-MARUTI,2023-02-02,D-1869,ABS Sensor Ring,Noise complaint - squeal at low speed braking,161,Incoming lot moisture > 0.5%,Pending,Process parameter locked; re-training done,6280,In Progress,Y,Y,Customer requested urgent resolution
C0120,OEM-MARUTI,2022-11-10,"D-3781,D-1569,D-4440,D-1670",Drum Brake Assy,ABS sensor ring missing teeth - 12 units,23,Under investigation,Pending,,413954,Closed,Y,,
C0121,OEM-RENAULT,2021-12-20,D-3233,Brake Disc,Friction material detached after 3000 km field use,129,Batch mix ratio deviation,No,Root cause under investigation,316099,In Progress,N,N,Closed with customer sign-off
C0122,OEM-BAJAJ,2023-09-20,"D-4136,D-1398,D-4060",Brake Shoe,Corrosion observed on disc surface - field report,7,Supplier batch below spec,Yes,Process parameter locked; re-training done,203901,Closed,N,N,Customer requested urgent resolution
