batch_id,inspection_date,inspector_id,product_type,pass_fail,defect_type,defect_rate_pct,rework_flag,sample_size,defects_found,measurement_tool,hold_released,customer_specific,remarks
BATCH-2022-0155,2024-10-08,QC-06,Brake Pad Type A,REWORK,Adhesive bond failure,2.7327,N,138.0,13.0,,N,OEM-BAJAJ,Re-inspect after rework
BATCH-2021-0126,2023-09-02,QC-06,Clutch Plate,FAIL,Dimensional out-of-spec,4.3352,Y,42.0,20.0,Visual,N,,Customer concession raised
BATCH-2024-0043,2023-10-09,QC-03,Disc Brake Caliper,PASS,,3.4724,N,83.0,0.0,,Y,OEM-RENAULT,Escalated to QA Manager
BATCH-2021-0094,2022-11-30,QC-05,Drum Brake Assy,FAIL,Surface delamination,0.6058,N,40.0,18.0,,Y,OEM-FORD,OK
BATCH-2023-0452,2024-05-02,QC-01,Drum Brake Assy,PASS,,8.7705,N,130.0,0.0,Torque wrench,Y,OEM-RENAULT,Borderline - monitor next batch
BATCH-2022-0307,2024-11-22,QC-03,ABS Sensor Ring,PASS,,4.7388,Y,86.0,0.0,Vernier,N,OEM-TATA,Re-inspect after rework
BATCH-2024-0406,2022-07-09,QC-04,Brake Shoe,PASS,,8.7925,Y,106.0,0.0,Go/No-Go gauge,,OEM-FORD,Customer concession raised
BATCH-2021-0106,2023-11-22,QC-08,Drum Brake Assy,PASS,,9.8684,N,26.0,0.0,Torque wrench,N,OEM-TATA,Borderline - monitor next batch
BATCH-2022-0272,2024-07-07,QC-05,Brake Shoe,PASS,,8.5197,,135.0,0.0,Go/No-Go gauge,Y,OEM-TVS,Customer concession raised
BATCH-2021-0366,2023-07-24,QC-04,CV Joint,PASS,,10.1439,Y,88.0,0.0,Hardness tester,Y,OEM-RENAULT,
BATCH-2022-0137,2024-05-10,QC-08,Disc Brake Caliper,PASS,,2.1402,Y,133.0,,Hardness tester,Y,,
BATCH-2021-0377,2023-12-20,QC-06,Drum Brake Assy,PASS,,2.5013,Y,119.0,0.0,CMM,N,OEM-HONDA,OK
BATCH-2021-0450,2024-10-24,QC-09,Disc Brake Caliper,PASS,,10.1978,N,131.0,0.0,Height gauge,Y,,Customer concession raised
BATCH-2022-0350,2024-07-10,QC-04,Clutch Plate,PASS,,9.9623,Y,192.0,0.0,Vernier,N,OEM-TVS,Waived by OEM
BATCH-2021-0130,2022-10-29,QC-06,CV Joint,FAIL,Vibration at speed,2.2174,N,186.0,16.0,CMM,N,OEM-RENAULT,Re-inspect after rework
BATCH-2021-0084,2023-10-09,QC-08,Drum Brake Assy,PASS,,6.9231,,53.0,,Go/No-Go gauge,N,OEM-RENAULT,Waived by OEM
BATCH-2023-0123,2023-09-28,QC-05,Brake Pad Type B,REWORK,Lining detachment,3.4491,Y,37.0,10.0,Visual,Y,OEM-MARUTI,Borderline - monitor next batch
BATCH-2022-0416,2023-03-31,QC-05,CV Joint,PASS,,9.4753,Y,149.0,0.0,Visual,N,OEM-RENAULT,OK
BATCH-2022-0282,2024-08-07,QC-01,ABS Sensor Ring,FAIL,Corrosion pitting,6.896,Y,67.0,25.0,Visual,N,,Customer concession raised
BATCH-2022-0108,2024-12-15,QC-08,CV Joint,PASS,,0.7538,N,125.0,0.0,Vernier,N,OEM-FORD,Customer concession raised
BATCH-2021-0391,2023-06-22,QC-02,Wheel Hub Assy,REWORK,Noise under braking,11.5184,N,,18.0,CMM,Y,OEM-FORD,Escalated to QA Manager
BATCH-2024-0318,2022-01-25,QC-09,CV Joint,PASS,,8.7817,Y,117.0,0.0,Torque wrench,,OEM-HYUNDAI,Waived by OEM
BATCH-2022-0214,2023-05-19,QC-06,Brake Pad Type A,PASS,,11.5011,N,104.0,0.0,CMM,N,,OK
BATCH-2023-0062,2024-01-15,QC-02,Disc Brake Caliper,FAIL,Surface delamination,0.2053,N,62.0,9.0,,Y,OEM-RENAULT,Re-inspect after rework
BATCH-2022-0453,2024-07-19,QC-04,Wheel Hub Assy,PASS,,9.6871,N,145.0,0.0,Torque wrench,N,,OK
BATCH-2024-0021,2024-04-22,QC-05,ABS Sensor Ring,PASS,,6.5604,N,64.0,0.0,Hardness tester,Y,,
BATCH-2022-0423,2024-12-22,QC-03,Brake Disc,PASS,,2.7212,Y,86.0,0.0,Height gauge,Y,OEM-TVS,Customer concession raised
BATCH-2022-0190,2024-08-12,QC-04,Wheel Hub Assy,PASS,,1.3569,N,54.0,0.0,CMM,N,OEM-BAJAJ,Escalated to QA Manager
BATCH-2022-0291,2021-08-14,QC-07,ABS Sensor Ring,REWORK,Noise under braking,6.5176,,143.0,17.0,Height gauge,Y,OEM-HONDA,OK
BATCH-2021-0445,2024-06-10,QC-03,Brake Pad Type A,PASS,,10.1339,N,152.0,0.0,CMM,Y,OEM-MARUTI,Escalated to QA Manager
BATCH-2024-0026,2024-11-12,QC-06,Brake Pad Type B,PASS,,4.5906,,130.0,0.0,Height gauge,N,OEM-SUZUKI,Borderline - monitor next batch
BATCH-2024-0371,2024-03-07,QC-07,Brake Pad Type A,PASS,,5.2063,N,85.0,0.0,Hardness tester,Y,OEM-BAJAJ,Escalated to QA Manager
BATCH-2022-0498,2024-07-21,QC-03,Wheel Hub Assy,PASS,,10.5671,Y,112.0,0.0,,N,OEM-FORD,OK
BATCH-2022-0338,2022-10-05,QC-05,ABS Sensor Ring,REWORK,Adhesive bond failure,6.0947,Y,38.0,18.0,Visual,,OEM-MAHINDRA,Escalated to QA Manager
BATCH-2021-0333,2023-01-01,QC-07,Clutch Plate,PASS,,9.4447,N,107.0,0.0,Height gauge,N,OEM-MAHINDRA,
BATCH-2021-0258,2024-07-29,QC-04,Brake Pad Type B,FAIL,Vibration at speed,2.9688,,148.0,8.0,CMM,N,OEM-SUZUKI,Borderline - monitor next batch
BATCH-2022-0035,2023-09-24,QC-05,Wheel Hub Assy,PASS,,9.643,Y,26.0,0.0,CMM,Y,OEM-HYUNDAI,Customer concession raised
BATCH-2024-0153,2024-12-06,QC-02,Brake Shoe,PASS,,7.6869,N,42.0,,Hardness tester,Y,OEM-RENAULT,Waived by OEM
BATCH-2022-0323,2024-09-21,QC-06,Drum Brake Assy,PASS,,10.7139,Y,155.0,0.0,Torque wrench,Y,OEM-TATA,Waived by OEM
BATCH-2022-0004,2022-05-19,QC-09,Brake Disc,PASS,,10.3952,Y,73.0,0.0,Hardness tester,Y,OEM-MAHINDRA,Escalated to QA Manager
BATCH-2023-0136,2023-11-13,QC-07,Brake Pad Type B,PASS,,8.7394,Y,167.0,0.0,Go/No-Go gauge,N,OEM-BAJAJ,Escalated to QA Manager
BATCH-2023-0248,2023-03-05,QC-04,Brake Shoe,PASS,,3.2024,Y,34.0,0.0,CMM,N,OEM-MAHINDRA,Customer concession raised
BATCH-2022-0198,2021-04-23,QC-06,Brake Shoe,REWORK,Warpage > 0.3 mm,7.3844,Y,92.0,14.0,Torque wrench,N,OEM-HONDA,Waived by OEM
BATCH-2023-0009,2021-08-24,QC-05,Brake Pad Type B,FAIL,Ovality - rotor,6.9382,N,70.0,22.0,CMM,N,OEM-MAHINDRA,Escalated to QA Manager
BATCH-2023-0399,2024-08-31,QC-09,CV Joint,REWORK,Adhesive bond failure,6.4907,Y,117.0,22.0,Vernier,Y,,Waived by OEM
BATCH-2021-0040,2023-10-21,QC-04,ABS Sensor Ring,FAIL,Porosity - casting defect,6.6411,N,103.0,3.0,CMM,N,OEM-TVS,Customer concession raised
BATCH-2022-0086,2023-05-27,QC-07,Brake Disc,PASS,,3.7398,Y,82.0,0.0,Visual,,OEM-HYUNDAI,Customer concession raised
BATCH-2021-0065,2021-11-29,QC-09,ABS Sensor Ring,PASS,,11.9492,,,0.0,Go/No-Go gauge,N,,Customer concession raised
BATCH-2024-0162,2023-08-06,QC-01,Wheel Hub Assy,REWORK,Improper heat treatment,7.5816,N,146.0,17.0,CMM,Y,OEM-HONDA,Escalated to QA Manager
BATCH-2022-0002,2022-08-14,QC-02,Wheel Hub Assy,PASS,,4.5954,Y,93.0,0.0,Go/No-Go gauge,N,OEM-SUZUKI,Escalated to QA Manager
BATCH-2021-0229,2021-12-27,QC-09,ABS Sensor Ring,REWORK,Adhesive bond failure,1.774,Y,176.0,0.0,Hardness tester,N,OEM-RENAULT,OK
BATCH-2022-0075,2024-01-11,QC-07,Brake Disc,REWORK,Adhesive bond failure,8.9579,Y,96.0,,Visual,N,OEM-HONDA,OK
BATCH-2024-0062,2024-07-08,QC-07,Brake Pad Type A,PASS,,6.0051,Y,163.0,0.0,Hardness tester,N,OEM-TVS,
BATCH-2022-0276,2022-03-09,QC-08,Drum Brake Assy,PASS,,4.7847,Y,195.0,0.0,Torque wrench,N,OEM-MAHINDRA,Waived by OEM
BATCH-2023-0317,2024-09-10,QC-03,Brake Shoe,PASS,,9.6901,Y,53.0,0.0,Height gauge,N,OEM-FORD,Waived by OEM
BATCH-2022-0250,2022-02-02,QC-01,ABS Sensor Ring,PASS,,7.5428,,107.0,,Visual,N,OEM-TVS,Borderline - monitor next batch
BATCH-2023-0004,2023-09-22,QC-04,Drum Brake Assy,REWORK,Surface delamination,2.2108,Y,112.0,6.0,Torque wrench,N,OEM-RENAULT,Customer concession raised
BATCH-2022-0195,2023-03-03,QC-04,Disc Brake Caliper,PASS,,8.4158,Y,38.0,0.0,Torque wrench,Y,OEM-HYUNDAI,Customer concession raised
BATCH-2021-0343,2023-02-19,QC-08,Wheel Hub Assy,PASS,,2.8258,,174.0,0.0,CMM,Y,OEM-RENAULT,OK
BATCH-2023-0348,2024-05-05,QC-01,Wheel Hub Assy,PASS,,7.792,Y,132.0,0.0,,N,OEM-SUZUKI,Re-inspect after rework
BATCH-2024-0194,2023-04-16,QC-05,Clutch Plate,PASS,,4.1901,N,165.0,0.0,Hardness tester,Y,OEM-RENAULT,Customer concession raised
BATCH-2022-0467,2021-10-25,QC-04,Clutch Plate,PASS,,11.1733,N,162.0,0.0,Torque wrench,Y,OEM-RENAULT,Escalated to QA Manager
BATCH-2024-0306,2024-11-13,QC-03,Clutch Plate,FAIL,Friction material cracking,8.9892,N,28.0,18.0,Visual,Y,,Re-inspect after rework
BATCH-2021-0307,2024-06-18,QC-09,ABS Sensor Ring,PASS,,4.9368,,,0.0,Visual,N,,Re-inspect after rework
BATCH-2024-0210,2024-06-14,QC-08,Brake Pad Type A,PASS,,9.1127,N,107.0,0.0,Visual,N,OEM-MARUTI,Waived by OEM
BATCH-2023-0444,2024-04-15,QC-03,CV Joint,REWORK,Edge chipping,2.0797,N,183.0,1.0,Visual,Y,OEM-HYUNDAI,Customer concession raised
BATCH-2022-0432,2024-07-05,QC-07,Drum Brake Assy,PASS,,8.5768,N,59.0,0.0,Visual,N,OEM-MARUTI,Waived by OEM
BATCH-2022-0288,2023-07-02,QC-03,ABS Sensor Ring,PASS,,3.4792,Y,145.0,0.0,Vernier,Y,OEM-MAHINDRA,OK
BATCH-2024-0078,2023-08-04,QC-09,Drum Brake Assy,PASS,,10.5979,Y,160.0,0.0,Hardness tester,,OEM-TVS,Customer concession raised
BATCH-2023-0442,2021-03-02,QC-01,Drum Brake Assy,FAIL,Friction material cracking,10.0929,Y,92.0,3.0,CMM,Y,OEM-TATA,Waived by OEM
BATCH-2023-0187,2024-11-25,QC-08,Brake Shoe,PASS,,7.9648,Y,55.0,0.0,Vernier,N,OEM-RENAULT,Escalated to QA Manager
BATCH-2023-0255,2023-11-09,QC-06,Wheel Hub Assy,PASS,,4.2205,N,79.0,0.0,Torque wrench,Y,,Escalated to QA Manager
BATCH-2021-0198,2023-09-09,QC-09,Drum Brake Assy,PASS,,7.0814,Y,41.0,0.0,Vernier,,OEM-TATA,Customer concession raised
BATCH-2022-0193,2024-10-26,QC-04,Brake Disc,REWORK,Dimensional out-of-spec,4.4845,N,58.0,21.0,Hardness tester,N,OEM-FORD,Escalated to QA Manager
BATCH-2024-0328,2022-05-22,QC-05,Brake Pad Type A,FAIL,Adhesive bond failure,9.8023,N,143.0,7.0,Visual,N,OEM-HYUNDAI,Escalated to QA Manager
BATCH-2023-0343,2024-03-18,QC-08,CV Joint,PASS,,4.1066,N,125.0,0.0,Vernier,N,OEM-RENAULT,Re-inspect after rework
BATCH-2024-0045,2022-02-17,QC-02,Brake Pad Type A,PASS,,7.6986,N,137.0,0.0,CMM,N,OEM-FORD,OK
BATCH-2024-0182,2023-09-21,QC-05,Brake Pad Type A,PASS,,9.786,,29.0,0.0,Vernier,N,OEM-MAHINDRA,Escalated to QA Manager
BATCH-2022-0292,2023-09-26,QC-07,Brake Disc,PASS,,10.8543,Y,189.0,0.0,CMM,,OEM-FORD,Re-inspect after rework
BATCH-2021-0176,2021-10-16,QC-09,CV Joint,PASS,,2.7339,N,144.0,0.0,CMM,Y,OEM-TVS,Escalated to QA Manager
BATCH-2024-0211,2021-02-24,QC-07,Clutch Plate,PASS,,4.586,Y,25.0,0.0,CMM,Y,OEM-MAHINDRA,Customer concession raised
BATCH-2024-0084,2023-08-10,QC-07,Brake Pad Type A,REWORK,Dimensional out-of-spec,4.2286,N,53.0,19.0,Go/No-Go gauge,N,OEM-SUZUKI,Waived by OEM
BATCH-2021-0488,2023-05-11,QC-08,Brake Pad Type A,PASS,,6.7089,Y,55.0,0.0,,N,,OK
BATCH-2021-0380,2023-05-29,QC-03,ABS Sensor Ring,PASS,,6.0268,N,22.0,0.0,Visual,,OEM-TATA,Borderline - monitor next batch
BATCH-2024-0056,2023-04-28,QC-08,Brake Disc,PASS,,1.7097,Y,130.0,0.0,Torque wrench,Y,OEM-HYUNDAI,Borderline - monitor next batch
BATCH-2021-0201,2023-07-29,QC-06,Wheel Hub Assy,PASS,,6.398,N,30.0,0.0,Visual,N,OEM-MARUTI,Re-inspect after rework
BATCH-2023-0355,2023-06-10,QC-06,Brake Disc,PASS,,9.565,Y,143.0,0.0,Hardness tester,,OEM-MAHINDRA,Waived by OEM
BATCH-2024-0350,2022-03-08,QC-01,Brake Pad Type A,PASS,,5.8443,N,143.0,0.0,Go/No-Go gauge,N,OEM-TATA,Escalated to QA Manager
BATCH-2021-0298,2022-05-24,QC-04,ABS Sensor Ring,FAIL,Corrosion pitting,9.3006,N,37.0,6.0,Go/No-Go gauge,Y,OEM-MAHINDRA,Escalated to QA Manager
BATCH-2024-0393,2023-10-31,QC-09,Brake Pad Type B,PASS,,3.0265,Y,85.0,0.0,Torque wrench,Y,,Borderline - monitor next batch
BATCH-2023-0135,2024-05-02,QC-02,CV Joint,PASS,,8.3041,Y,183.0,0.0,Height gauge,N,OEM-MARUTI,OK
BATCH-2021-0410,2024-04-30,QC-03,ABS Sensor Ring,PASS,,1.9864,Y,35.0,0.0,Go/No-Go gauge,N,OEM-RENAULT,Re-inspect after rework
BATCH-2021-0427,2024-07-03,QC-05,ABS Sensor Ring,PASS,,4.0927,N,173.0,0.0,Visual,N,OEM-MARUTI,Waived by OEM
BATCH-2021-0435,2024-04-08,QC-05,Brake Shoe,PASS,,4.5987,Y,,0.0,Hardness tester,Y,,Re-inspect after rework
BATCH-2022-0484,2024-12-07,QC-04,Brake Pad Type A,FAIL,Adhesive bond failure,5.2051,Y,194.0,24.0,Visual,N,,Re-inspect after rework
BATCH-2021-0346,2024-04-07,QC-08,Brake Disc,REWORK,Noise under braking,6.9762,Y,136.0,12.0,Vernier,N,OEM-BAJAJ,
BATCH-2024-0191,2021-07-12,QC-01,Brake Shoe,PASS,,8.036,Y,69.0,0.0,Height gauge,N,OEM-MARUTI,Re-inspect after rework
BATCH-2022-0255,2023-03-15,QC-03,CV Joint,REWORK,Dimensional out-of-spec,6.3937,N,46.0,22.0,CMM,N,OEM-TATA,Customer concession raised
BATCH-2022-0052,2024-09-09,QC-02,Clutch Plate,PASS,,2.8749,N,173.0,0.0,,,OEM-FORD,Waived by OEM
BATCH-2023-0269,2024-11-05,QC-09,Brake Disc,FAIL,Ovality - rotor,8.4648,Y,104.0,7.0,CMM,Y,OEM-TVS,Re-inspect after rework
BATCH-2024-0441,2024-12-11,QC-03,Disc Brake Caliper,FAIL,Porosity - casting defect,2.1186,,156.0,14.0,Vernier,Y,,Re-inspect after rework
BATCH-2024-0094,2022-12-24,QC-06,Brake Pad Type A,FAIL,Edge chipping,7.591,Y,96.0,12.0,Height gauge,N,OEM-BAJAJ,Escalated to QA Manager
BATCH-2024-0193,2023-07-08,QC-07,Brake Shoe,PASS,,7.9871,N,150.0,0.0,Height gauge,N,,Waived by OEM
BATCH-2021-0092,2024-11-28,QC-04,CV Joint,FAIL,Noise under braking,9.6725,Y,87.0,,CMM,Y,,Waived by OEM
BATCH-2021-0481,2024-03-01,QC-08,Drum Brake Assy,PASS,,0.2792,Y,91.0,0.0,Go/No-Go gauge,Y,,Borderline - monitor next batch
BATCH-2024-0469,2022-08-21,QC-06,Disc Brake Caliper,PASS,,1.6513,N,51.0,,CMM,Y,OEM-HYUNDAI,Customer concession raised
BATCH-2022-0389,2024-08-15,QC-07,CV Joint,PASS,,4.443,,49.0,0.0,Height gauge,N,OEM-HONDA,Waived by OEM
BATCH-2021-0249,2024-12-03,QC-01,Brake Shoe,FAIL,Vibration at speed,7.492,N,40.0,21.0,Go/No-Go gauge,N,OEM-FORD,Re-inspect after rework
BATCH-2024-0057,2022-07-05,QC-08,Brake Pad Type A,REWORK,Vibration at speed,0.3397,Y,129.0,,Visual,Y,,Borderline - monitor next batch
BATCH-2023-0134,2024-03-29,QC-02,Brake Pad Type B,PASS,,5.4956,Y,123.0,0.0,Hardness tester,N,OEM-RENAULT,Customer concession raised
BATCH-2021-0097,2022-03-28,QC-06,Drum Brake Assy,PASS,,3.4804,Y,182.0,0.0,CMM,Y,OEM-TATA,Escalated to QA Manager
BATCH-2023-0016,2023-09-05,QC-05,CV Joint,PASS,,0.7373,Y,63.0,0.0,Height gauge,Y,,Customer concession raised
BATCH-2023-0163,2024-05-29,QC-09,CV Joint,PASS,,3.0341,N,147.0,0.0,Go/No-Go gauge,Y,OEM-TVS,Borderline - monitor next batch
BATCH-2023-0132,2023-01-06,QC-09,Brake Disc,FAIL,Lining detachment,5.6158,N,115.0,15.0,Torque wrench,N,OEM-TATA,OK
BATCH-2024-0064,2023-12-22,QC-02,Disc Brake Caliper,PASS,,1.4145,Y,48.0,0.0,Go/No-Go gauge,N,,Borderline - monitor next batch
BATCH-2024-0257,2022-05-27,QC-09,Drum Brake Assy,PASS,,6.3977,N,165.0,0.0,Hardness tester,N,OEM-SUZUKI,Waived by OEM
BATCH-2023-0125,2024-08-31,QC-02,Disc Brake Caliper,REWORK,Corrosion pitting,5.9759,N,116.0,15.0,Height gauge,N,OEM-MARUTI,Borderline - monitor next batch
BATCH-2021-0267,2024-04-08,QC-02,Disc Brake Caliper,PASS,,4.3004,N,147.0,0.0,Go/No-Go gauge,Y,OEM-BAJAJ,Re-inspect after rework
BATCH-2022-0021,2024-12-07,QC-05,Disc Brake Caliper,FAIL,Ovality - rotor,3.1228,N,74.0,14.0,Height gauge,Y,OEM-BAJAJ,Waived by OEM
BATCH-2023-0169,2024-11-05,QC-01,Brake Disc,PASS,,11.8097,N,173.0,0.0,CMM,Y,OEM-BAJAJ,Borderline - monitor next batch
BATCH-2023-0415,2024-04-03,QC-05,Brake Disc,PASS,,6.0974,N,157.0,0.0,Go/No-Go gauge,N,OEM-MAHINDRA,Re-inspect after rework
BATCH-2024-0225,2023-02-02,QC-08,Brake Disc,PASS,,4.6949,N,199.0,0.0,Go/No-Go gauge,Y,OEM-SUZUKI,Borderline - monitor next batch
BATCH-2024-0404,2021-11-05,QC-07,Brake Pad Type B,REWORK,Vibration at speed,2.4389,Y,188.0,22.0,,N,OEM-SUZUKI,Borderline - monitor next batch
BATCH-2024-0493,2023-06-09,QC-01,Brake Disc,PASS,,9.5472,Y,29.0,0.0,Go/No-Go gauge,Y,OEM-TATA,Customer concession raised
BATCH-2023-0239,2022-06-08,QC-05,Disc Brake Caliper,PASS,,0.4436,Y,60.0,0.0,Visual,Y,OEM-MAHINDRA,Re-inspect after rework
BATCH-2021-0456,2022-08-08,QC-06,Drum Brake Assy,PASS,,11.1355,N,24.0,0.0,CMM,Y,OEM-RENAULT,OK
BATCH-2021-0362,2024-08-16,QC-04,Disc Brake Caliper,PASS,,2.3282,N,108.0,0.0,,Y,,Re-inspect after rework
BATCH-2023-0428,2023-06-15,QC-09,Brake Shoe,REWORK,Corrosion pitting,6.0506,Y,85.0,12.0,Vernier,N,,Waived by OEM
BATCH-2024-0185,2024-10-30,QC-09,Brake Pad Type A,PASS,,6.8309,N,130.0,0.0,CMM,Y,OEM-FORD,Customer concession raised
BATCH-2021-0186,2023-07-24,QC-02,Clutch Plate,PASS,,3.0779,N,58.0,0.0,Torque wrench,,OEM-MAHINDRA,Borderline - monitor next batch
BATCH-2022-0337,2024-12-20,QC-07,ABS Sensor Ring,PASS,,2.6657,Y,32.0,0.0,CMM,Y,,Re-inspect after rework
BATCH-2023-0475,2024-06-27,QC-06,ABS Sensor Ring,PASS,,5.7712,N,65.0,0.0,CMM,N,OEM-HONDA,Escalated to QA Manager
BATCH-2022-0376,2023-08-03,QC-03,ABS Sensor Ring,FAIL,Noise under braking,2.5273,N,93.0,14.0,Height gauge,Y,OEM-SUZUKI,Re-inspect after rework
BATCH-2024-0100,2024-07-10,QC-01,CV Joint,PASS,,11.7832,Y,128.0,0.0,Height gauge,N,,OK
BATCH-2023-0152,2024-06-11,QC-03,Brake Pad Type A,PASS,,6.843,N,56.0,0.0,Visual,N,OEM-BAJAJ,Re-inspect after rework
BATCH-2023-0453,2023-04-07,QC-02,Brake Disc,PASS,,7.4093,N,84.0,0.0,Hardness tester,N,OEM-SUZUKI,OK
BATCH-2023-0492,2023-05-01,QC-05,Brake Pad Type A,PASS,,5.2169,N,109.0,0.0,Height gauge,N,,Escalated to QA Manager
BATCH-2024-0280,2024-10-28,QC-05,Disc Brake Caliper,FAIL,Dimensional out-of-spec,9.5217,N,119.0,15.0,Hardness tester,,,Waived by OEM
BATCH-2023-0378,2023-11-10,QC-09,Wheel Hub Assy,REWORK,Ovality - rotor,10.1149,Y,108.0,14.0,CMM,N,,Customer concession raised
BATCH-2022-0234,2024-06-17,QC-03,ABS Sensor Ring,FAIL,Vibration at speed,1.6285,,,3.0,Torque wrench,Y,OEM-RENAULT,Waived by OEM
BATCH-2021-0458,2024-11-01,QC-02,Brake Shoe,PASS,,4.0162,N,134.0,0.0,Visual,Y,OEM-MARUTI,Re-inspect after rework
BATCH-2022-0025,2023-02-25,QC-03,Clutch Plate,PASS,,0.4357,Y,124.0,0.0,Go/No-Go gauge,Y,OEM-HONDA,Borderline - monitor next batch
