date,shift,machine_id,operator_id,batch_id,input_lot_ref,units_produced,cycle_time_min,product_type,planned_units,downtime_min,downtime_reason,scrap_units,line_id,remark
2024-02-29,A,MC-12,OP-007,BATCH-2023-0265,LOT-2021-470,409,10.868,Brake Pad Type A,361.0,0.0,Setup/changeover,11.0,LINE-4,Speed reduced - vibration
2024-01-29,B,MC-15,OP-006,BATCH-2022-0199,LOT-2023-2432,355,10.533,Clutch Plate,513.0,123.7,Material shortage,6.0,LINE-6,
2024-06-10,B,MC-09,OP-008,BATCH-2023-0004,LOT-2023-083,450,7.798,Wheel Hub Assy,469.0,0.0,Material shortage,15.0,LINE-3,Normal run
2023-02-03,C,MC-09,OP-024,BATCH-2021-0470,LOT-2023-113,385,10.078,ABS Sensor Ring,486.0,0.0,Hydraulic issue,11.0,LINE-3,New mould trial
2024-07-07,B,MC-03,OP-009,BATCH-2023-0072,LOT-2023-1714,512,13.456,ABS Sensor Ring,399.0,0.0,,,LINE-2,Customer priority
2021-12-19,A,MC-01,OP-010,BATCH-2024-0161,LOT-2024-1063,392,12.196,Brake Disc,508.0,0.0,Operator break,11.0,LINE-4,Tooling replaced mid-shift
2022-03-24,A,MC-02,OP-007,BATCH-2021-0453,LOT-2021-1008,376,11.11,Brake Pad Type B,,104.7,Quality hold,20.0,LINE-6,Normal run
2023-01-31,B,MC-01,OP-022,BATCH-2023-0340,LOT-2023-1285,312,13.206,Brake Shoe,531.0,0.0,Mould repair,23.0,LINE-4,Tooling replaced mid-shift
2024-04-26,B,MC-12,OP-014,BATCH-2024-0332,LOT-2023-566,413,13.607,Brake Pad Type B,471.0,0.0,Mould repair,6.0,LINE-4,Normal run
2021-08-06,A,MC-01,OP-004,BATCH-2023-0256,LOT-2024-1991,361,12.259,CV Joint,,212.8,Material shortage,4.0,LINE-6,Rush order
2022-04-28,B,MC-15,OP-003,BATCH-2022-0108,LOT-2021-2446,416,14.786,Clutch Plate,292.0,100.4,Mould repair,9.0,LINE-4,Normal run
2021-08-18,C,MC-15,OP-015,BATCH-2023-0460,LOT-2021-1190,493,11.683,Brake Pad Type B,432.0,142.0,Power outage,29.0,,New mould trial
2022-03-07,C,MC-09,OP-024,BATCH-2024-0446,LOT-2021-1236,428,7.326,Clutch Plate,436.0,172.1,,8.0,LINE-5,Normal run
2021-02-17,C,MC-05,OP-021,BATCH-2023-0331,LOT-2024-265,452,14.604,Brake Pad Type B,418.0,0.0,Quality hold,19.0,LINE-3,Speed reduced - vibration
2022-02-24,B,MC-13,OP-024,BATCH-2024-0200,LOT-2022-1569,347,10.446,Brake Pad Type A,504.0,0.0,Hydraulic issue,15.0,LINE-6,New mould trial
2024-04-19,A,MC-12,OP-008,BATCH-2024-0225,LOT-2024-625,449,10.388,Brake Shoe,480.0,0.0,Hydraulic issue,13.0,LINE-3,Speed reduced - vibration
2022-07-22,A,MC-12,OP-015,BATCH-2023-0176,LOT-2023-1804,428,13.534,ABS Sensor Ring,407.0,0.0,Material shortage,20.0,LINE-3,Normal run
2021-05-26,A,MC-06,OP-019,BATCH-2024-0101,LOT-2021-398,390,10.677,Clutch Plate,362.0,0.0,Setup/changeover,4.0,LINE-3,Customer priority
2021-11-29,B,MC-07,OP-011,BATCH-2023-0436,LOT-2024-301,446,12.048,ABS Sensor Ring,450.0,0.0,Quality hold,9.0,LINE-6,
2021-09-18,B,MC-01,OP-015,BATCH-2021-0141,LOT-2021-1231,398,8.528,Drum Brake Assy,424.0,85.0,Tool change,16.0,LINE-1,New mould trial
2023-06-19,A,MC-12,OP-019,BATCH-2022-0192,LOT-2024-929,389,9.815,Disc Brake Caliper,440.0,174.4,,,LINE-6,New mould trial
2023-03-07,B,MC-11,OP-012,BATCH-2021-0345,LOT-2024-773,456,15.461,Wheel Hub Assy,460.0,0.0,Tool change,0.0,LINE-6,Rush order
2023-10-04,B,MC-03,OP-008,BATCH-2024-0383,LOT-2023-1382,443,11.344,Brake Pad Type A,334.0,0.0,Mould repair,19.0,LINE-5,Rush order
2022-11-22,A,MC-05,OP-029,BATCH-2024-0182,LOT-2021-241,417,11.626,Clutch Plate,597.0,12.7,Operator break,,LINE-4,Speed reduced - vibration
2023-08-14,C,MC-07,OP-016,BATCH-2023-0317,LOT-2024-2074,402,12.133,Wheel Hub Assy,447.0,,Mould repair,28.0,LINE-4,Rush order
2022-03-14,A,MC-11,OP-030,BATCH-2021-0061,LOT-2021-033,314,13.9,Brake Disc,495.0,0.0,Machine fault,14.0,LINE-1,Rush order
2023-03-26,C,MC-07,OP-018,BATCH-2022-0323,LOT-2024-674,491,9.59,Clutch Plate,534.0,13.1,Machine fault,12.0,LINE-3,Tooling replaced mid-shift
2024-04-14,C,MC-07,OP-003,BATCH-2022-0101,LOT-2024-029,293,12.732,Brake Shoe,581.0,,Mould repair,,LINE-5,Customer priority
2024-08-22,B,MC-04,OP-016,BATCH-2023-0135,LOT-2023-1223,330,10.311,Disc Brake Caliper,455.0,0.0,Material shortage,6.0,LINE-2,New mould trial
2022-07-16,B,MC-01,OP-010,BATCH-2024-0342,LOT-2023-396,374,8.244,CV Joint,454.0,0.0,Material shortage,10.0,LINE-6,Speed reduced - vibration
2023-09-21,A,MC-03,OP-012,BATCH-2021-0390,LOT-2022-079,324,12.495,ABS Sensor Ring,394.0,0.0,Tool change,9.0,LINE-2,Rush order
2022-12-15,B,MC-15,OP-013,BATCH-2022-0280,LOT-2021-2035,559,9.855,Wheel Hub Assy,430.0,0.0,Quality hold,29.0,LINE-5,Rush order
2022-04-28,A,MC-11,OP-010,BATCH-2024-0222,LOT-2022-509,493,8.915,Disc Brake Caliper,,52.2,Hydraulic issue,27.0,LINE-3,Rush order
2023-03-08,B,MC-10,OP-012,BATCH-2024-0268,LOT-2024-196,537,8.124,Wheel Hub Assy,461.0,0.0,Machine fault,,LINE-2,Customer priority
2022-07-30,A,MC-15,OP-008,BATCH-2024-0448,LOT-2021-1746,443,13.142,Brake Shoe,375.0,0.0,Mould repair,26.0,LINE-5,Speed reduced - vibration
2024-11-04,A,MC-08,OP-027,BATCH-2024-0371,LOT-2022-2429,301,12.596,Disc Brake Caliper,467.0,0.0,Operator break,23.0,LINE-5,
2023-08-24,C,MC-09,OP-004,BATCH-2022-0409,LOT-2021-401,442,12.228,Disc Brake Caliper,409.0,161.8,Material shortage,16.0,LINE-1,Rush order
2022-06-23,B,MC-03,OP-009,BATCH-2021-0320,LOT-2022-119,440,12.115,Drum Brake Assy,407.0,0.0,Quality hold,15.0,LINE-2,Customer priority
2022-01-03,A,MC-03,OP-011,BATCH-2022-0459,LOT-2021-1049,587,12.495,CV Joint,,0.0,Machine fault,29.0,LINE-3,Customer priority
2022-11-24,C,MC-13,OP-011,BATCH-2021-0217,LOT-2021-1034,479,9.453,Drum Brake Assy,497.0,0.0,Material shortage,30.0,LINE-4,Speed reduced - vibration
2023-04-12,C,MC-02,OP-007,BATCH-2024-0381,LOT-2023-465,524,9.777,ABS Sensor Ring,507.0,0.0,Tool change,2.0,LINE-4,Tooling replaced mid-shift
2023-04-22,B,MC-15,OP-024,BATCH-2022-0222,LOT-2023-1763,457,13.226,Brake Pad Type B,563.0,0.0,Tool change,19.0,LINE-4,
2022-01-12,C,MC-13,OP-026,BATCH-2022-0102,LOT-2023-1505,397,9.917,Clutch Plate,396.0,0.0,Material shortage,6.0,LINE-3,Tooling replaced mid-shift
2023-05-07,B,MC-12,OP-029,BATCH-2022-0221,LOT-2022-062,346,11.338,ABS Sensor Ring,470.0,0.0,Quality hold,20.0,LINE-6,New mould trial
2023-11-18,A,MC-08,OP-011,BATCH-2021-0343,LOT-2021-470,444,13.237,Brake Disc,450.0,0.0,Operator break,,LINE-6,Speed reduced - vibration
2021-02-19,B,MC-11,OP-014,BATCH-2023-0161,LOT-2022-377,550,10.944,CV Joint,613.0,236.4,Tool change,30.0,LINE-6,Normal run
2023-02-19,C,MC-06,OP-028,BATCH-2022-0477,LOT-2022-389,476,9.7,CV Joint,385.0,0.0,Hydraulic issue,5.0,LINE-1,New mould trial
2021-10-16,C,MC-05,OP-011,BATCH-2022-0017,LOT-2024-1013,463,11.031,Wheel Hub Assy,492.0,0.0,Quality hold,3.0,LINE-4,Customer priority
2024-03-01,A,MC-02,OP-030,BATCH-2021-0219,LOT-2024-1235,462,11.347,Clutch Plate,399.0,0.0,Operator break,30.0,LINE-2,Customer priority
2023-03-02,A,MC-04,OP-015,BATCH-2021-0221,LOT-2021-220,283,10.562,Brake Pad Type A,501.0,0.0,Operator break,2.0,LINE-6,Normal run
2023-02-07,C,MC-14,OP-025,BATCH-2022-0412,LOT-2021-090,439,8.884,Brake Pad Type B,460.0,0.0,Mould repair,19.0,LINE-2,Tooling replaced mid-shift
2023-05-31,A,MC-11,OP-013,BATCH-2022-0314,LOT-2022-057,454,9.644,Disc Brake Caliper,459.0,134.7,Hydraulic issue,8.0,,Normal run
2021-10-22,B,MC-06,OP-026,BATCH-2023-0177,LOT-2021-1355,425,9.1,Brake Pad Type B,,0.0,Operator break,23.0,,Rush order
2021-09-15,C,MC-11,OP-002,BATCH-2024-0245,LOT-2021-252,470,13.774,CV Joint,513.0,0.0,Material shortage,12.0,LINE-6,Speed reduced - vibration
2024-08-16,A,MC-10,OP-020,BATCH-2023-0083,LOT-2023-1661,296,9.531,Brake Pad Type B,480.0,0.0,Quality hold,11.0,LINE-6,Rush order
2024-05-27,C,MC-15,OP-013,BATCH-2024-0452,LOT-2023-2141,466,12.582,Brake Disc,681.0,0.0,Quality hold,22.0,LINE-4,Rush order
2021-06-07,A,MC-11,OP-011,BATCH-2024-0416,LOT-2023-336,471,13.885,Drum Brake Assy,507.0,83.2,Power outage,13.0,LINE-5,Rush order
2021-09-21,C,MC-08,OP-023,BATCH-2023-0276,LOT-2023-060,478,10.838,Brake Pad Type A,495.0,0.0,Mould repair,22.0,LINE-5,Speed reduced - vibration
2024-03-05,B,MC-12,OP-028,BATCH-2021-0135,LOT-2022-467,350,11.003,Brake Pad Type B,420.0,0.0,Machine fault,4.0,LINE-3,Normal run
2023-01-28,A,MC-04,OP-012,BATCH-2022-0382,LOT-2024-1282,427,16.361,ABS Sensor Ring,337.0,0.0,,14.0,LINE-6,Rush order
2023-09-28,C,MC-06,OP-025,BATCH-2023-0040,LOT-2021-299,481,8.113,Brake Pad Type A,421.0,0.0,Mould repair,25.0,LINE-3,New mould trial
2021-03-27,C,MC-03,OP-005,BATCH-2023-0061,LOT-2021-1948,518,11.635,Brake Pad Type A,,0.0,Operator break,0.0,LINE-6,Normal run
2021-07-11,A,MC-12,OP-012,BATCH-2023-0226,LOT-2024-550,355,12.927,ABS Sensor Ring,406.0,0.0,Material shortage,30.0,LINE-3,Tooling replaced mid-shift
2024-01-20,A,MC-13,OP-029,BATCH-2023-0146,LOT-2024-1303,439,11.596,Drum Brake Assy,410.0,136.2,Setup/changeover,18.0,LINE-2,Rush order
2021-04-19,B,MC-11,OP-025,BATCH-2022-0151,LOT-2021-107,612,12.831,Brake Pad Type A,328.0,160.4,Material shortage,20.0,LINE-2,Tooling replaced mid-shift
2021-09-01,C,MC-11,OP-002,BATCH-2024-0350,LOT-2024-379,436,10.11,Brake Disc,501.0,170.3,Hydraulic issue,4.0,LINE-1,Rush order
2023-02-24,A,MC-02,OP-017,BATCH-2021-0453,LOT-2022-2454,348,11.259,Brake Disc,480.0,0.0,Tool change,,LINE-1,Speed reduced - vibration
2024-02-15,C,MC-03,OP-026,BATCH-2022-0455,LOT-2024-732,497,8.979,ABS Sensor Ring,429.0,0.0,Operator break,13.0,,Normal run
2024-10-27,C,MC-07,OP-008,BATCH-2022-0179,LOT-2021-2244,377,10.128,ABS Sensor Ring,555.0,0.0,Material shortage,7.0,LINE-3,
2021-05-25,C,MC-01,OP-020,BATCH-2024-0325,LOT-2022-1942,456,8.852,Brake Pad Type B,505.0,0.0,Mould repair,28.0,LINE-2,Speed reduced - vibration
2024-08-02,C,MC-03,OP-015,BATCH-2021-0013,LOT-2023-2190,610,13.668,ABS Sensor Ring,358.0,236.8,Quality hold,1.0,LINE-6,New mould trial
2024-06-15,C,MC-03,OP-001,BATCH-2022-0121,LOT-2024-1066,376,14.161,CV Joint,407.0,0.0,Power outage,9.0,LINE-5,New mould trial
2021-01-09,C,MC-09,OP-028,BATCH-2024-0139,LOT-2024-810,459,13.127,Brake Pad Type B,394.0,0.0,Tool change,14.0,LINE-5,Speed reduced - vibration
2022-05-30,A,MC-12,OP-002,BATCH-2022-0294,LOT-2021-1732,414,4.693,Brake Disc,388.0,,Machine fault,28.0,LINE-2,New mould trial
2023-01-02,B,MC-13,OP-020,BATCH-2021-0080,LOT-2024-110,397,8.88,ABS Sensor Ring,547.0,0.0,Material shortage,5.0,LINE-4,New mould trial
2024-06-29,A,MC-14,OP-007,BATCH-2022-0061,LOT-2023-1350,291,10.576,Clutch Plate,457.0,90.6,Machine fault,30.0,LINE-4,New mould trial
2024-04-02,B,MC-14,OP-010,BATCH-2022-0307,LOT-2023-433,549,8.485,Disc Brake Caliper,519.0,0.0,Mould repair,6.0,LINE-5,Speed reduced - vibration
2023-05-05,B,MC-07,OP-014,BATCH-2023-0395,LOT-2021-2406,420,9.439,Drum Brake Assy,477.0,0.0,Material shortage,17.0,LINE-3,Normal run
2024-05-11,C,MC-11,OP-001,BATCH-2024-0473,LOT-2024-1863,437,10.24,CV Joint,454.0,37.3,Hydraulic issue,9.0,LINE-4,Rush order
2023-01-02,B,MC-14,OP-001,BATCH-2021-0435,LOT-2021-1294,385,11.738,Clutch Plate,489.0,0.0,Machine fault,1.0,LINE-1,New mould trial
2024-07-13,A,MC-09,OP-001,BATCH-2022-0015,LOT-2022-093,562,8.901,CV Joint,577.0,197.0,Setup/changeover,28.0,LINE-4,Tooling replaced mid-shift
2021-07-16,C,MC-02,OP-011,BATCH-2023-0262,LOT-2024-135,244,11.181,Disc Brake Caliper,485.0,0.0,Power outage,17.0,LINE-6,Tooling replaced mid-shift
2024-07-18,C,MC-11,OP-020,BATCH-2022-0170,LOT-2023-1299,445,10.192,Disc Brake Caliper,437.0,0.0,Power outage,20.0,LINE-6,Speed reduced - vibration
2023-08-28,A,MC-09,OP-003,BATCH-2023-0041,LOT-2024-660,375,10.262,Disc Brake Caliper,500.0,0.0,Tool change,9.0,LINE-4,New mould trial
2024-03-02,C,MC-13,OP-013,BATCH-2021-0476,LOT-2022-1776,452,10.045,Brake Pad Type A,503.0,0.0,,27.0,LINE-5,Rush order
2024-10-09,A,MC-01,OP-022,BATCH-2023-0184,LOT-2023-087,447,13.207,Brake Pad Type B,487.0,0.0,Hydraulic issue,30.0,LINE-3,New mould trial
2021-12-23,B,MC-15,OP-004,BATCH-2023-0169,LOT-2024-427,345,10.324,CV Joint,494.0,0.0,Mould repair,26.0,LINE-5,Customer priority
2024-10-28,A,MC-03,OP-027,BATCH-2024-0048,LOT-2024-301,474,11.456,Clutch Plate,457.0,0.0,Power outage,25.0,LINE-3,Speed reduced - vibration
2021-05-07,C,MC-02,OP-027,BATCH-2024-0299,LOT-2024-2097,534,10.258,Brake Shoe,482.0,0.0,Material shortage,0.0,LINE-6,New mould trial
2021-01-23,A,MC-15,OP-020,BATCH-2022-0365,LOT-2024-1870,401,11.043,Brake Pad Type B,515.0,65.8,Setup/changeover,10.0,LINE-4,Tooling replaced mid-shift
2022-02-03,C,MC-14,OP-017,BATCH-2023-0475,LOT-2024-103,494,13.208,Brake Disc,528.0,0.0,Hydraulic issue,28.0,LINE-4,Normal run
2021-07-01,C,MC-15,OP-006,BATCH-2021-0062,LOT-2022-120,421,12.932,ABS Sensor Ring,431.0,0.0,,14.0,LINE-1,Rush order
2024-05-17,C,MC-11,OP-002,BATCH-2024-0123,LOT-2021-981,449,11.227,Wheel Hub Assy,455.0,0.0,Machine fault,26.0,LINE-2,Normal run
2023-11-30,C,MC-13,OP-029,BATCH-2023-0338,LOT-2022-442,473,9.782,CV Joint,575.0,28.1,Mould repair,,LINE-3,Customer priority
2024-06-28,A,MC-08,OP-002,BATCH-2021-0008,LOT-2022-1304,329,8.95,Clutch Plate,519.0,131.7,Operator break,25.0,LINE-4,Tooling replaced mid-shift
2021-03-13,B,MC-10,OP-006,BATCH-2022-0456,LOT-2021-430,491,12.811,CV Joint,487.0,0.0,Operator break,16.0,LINE-4,
2024-07-10,C,MC-06,OP-010,BATCH-2023-0439,LOT-2024-1884,418,9.616,ABS Sensor Ring,454.0,0.0,Material shortage,1.0,LINE-1,
2024-09-06,A,MC-07,OP-005,BATCH-2024-0222,LOT-2022-2493,359,13.548,CV Joint,441.0,35.0,,27.0,LINE-2,Rush order
2024-11-11,B,MC-09,OP-019,BATCH-2023-0014,LOT-2021-1486,345,10.825,Disc Brake Caliper,474.0,0.0,Quality hold,14.0,LINE-3,Speed reduced - vibration
2021-04-23,C,MC-02,OP-015,BATCH-2023-0251,LOT-2023-403,369,9.773,Clutch Plate,464.0,0.0,Quality hold,10.0,LINE-3,Tooling replaced mid-shift
2023-01-14,A,MC-06,OP-005,BATCH-2024-0159,LOT-2024-1419,442,10.435,Clutch Plate,421.0,0.0,Setup/changeover,10.0,LINE-5,Normal run
2021-06-18,A,MC-04,OP-025,BATCH-2024-0476,LOT-2021-1575,440,8.459,Brake Pad Type B,365.0,148.2,Hydraulic issue,6.0,LINE-4,Speed reduced - vibration
2023-06-23,A,MC-06,OP-025,BATCH-2021-0186,LOT-2024-958,355,11.052,Brake Shoe,468.0,0.0,Operator break,3.0,LINE-4,Speed reduced - vibration
2023-07-22,B,MC-04,OP-027,BATCH-2022-0023,LOT-2024-153,552,13.301,Brake Pad Type B,440.0,0.0,Machine fault,29.0,LINE-5,Rush order
2023-07-23,C,MC-06,OP-030,BATCH-2022-0116,LOT-2024-204,418,9.395,Brake Pad Type B,448.0,0.0,Hydraulic issue,25.0,LINE-4,Speed reduced - vibration
2023-12-17,C,MC-09,OP-012,BATCH-2023-0410,LOT-2023-451,394,12.178,Brake Pad Type B,400.0,0.0,Tool change,29.0,LINE-5,Speed reduced - vibration
2023-10-15,A,MC-04,OP-022,BATCH-2022-0147,LOT-2023-414,466,14.719,Brake Pad Type A,443.0,180.1,Operator break,6.0,LINE-5,Customer priority
2024-05-05,C,MC-11,OP-007,BATCH-2024-0066,LOT-2021-045,456,12.949,Brake Pad Type A,425.0,39.9,Material shortage,19.0,LINE-6,New mould trial
2023-02-10,C,MC-13,OP-022,BATCH-2022-0114,LOT-2023-685,440,11.526,Brake Disc,455.0,0.0,Operator break,,LINE-4,Speed reduced - vibration
2021-12-09,A,MC-03,OP-010,BATCH-2023-0254,LOT-2024-1796,350,11.551,Disc Brake Caliper,479.0,0.0,Machine fault,5.0,LINE-3,Tooling replaced mid-shift
2021-03-18,C,MC-04,OP-003,BATCH-2024-0197,LOT-2024-2200,550,13.514,Brake Shoe,579.0,0.0,Power outage,12.0,LINE-1,
2023-02-02,B,MC-01,OP-004,BATCH-2023-0152,LOT-2022-2104,350,13.332,Brake Shoe,461.0,0.0,Mould repair,0.0,LINE-1,New mould trial
2022-12-16,B,MC-11,OP-008,BATCH-2024-0441,LOT-2022-2377,617,9.803,Disc Brake Caliper,399.0,0.0,Tool change,17.0,LINE-3,New mould trial
2021-04-08,A,MC-07,OP-007,BATCH-2022-0055,LOT-2022-304,366,7.04,Brake Pad Type B,418.0,0.0,Tool change,21.0,LINE-1,Speed reduced - vibration
2021-06-27,B,MC-01,OP-013,BATCH-2021-0079,LOT-2022-2392,351,11.816,Brake Disc,470.0,0.0,Power outage,4.0,LINE-3,New mould trial
2024-12-12,A,MC-05,OP-012,BATCH-2023-0254,LOT-2022-126,588,13.496,Brake Pad Type B,415.0,144.9,Power outage,23.0,LINE-3,Speed reduced - vibration
2022-06-08,A,MC-03,OP-014,BATCH-2024-0218,LOT-2021-1952,339,12.533,Drum Brake Assy,370.0,0.0,Mould repair,8.0,LINE-3,Speed reduced - vibration
2021-12-16,C,MC-08,OP-018,BATCH-2021-0185,LOT-2024-1433,584,13.977,Brake Shoe,,0.0,,20.0,LINE-5,
2023-05-27,C,MC-06,OP-006,BATCH-2021-0063,LOT-2024-2024,265,14.343,CV Joint,443.0,27.5,Power outage,5.0,LINE-1,Customer priority
2022-03-14,C,MC-01,OP-017,BATCH-2024-0313,LOT-2021-361,531,8.152,Wheel Hub Assy,414.0,0.0,Power outage,20.0,LINE-2,Tooling replaced mid-shift
2024-02-25,C,MC-08,OP-009,BATCH-2024-0192,LOT-2024-295,420,11.599,Disc Brake Caliper,422.0,177.4,Material shortage,27.0,LINE-4,New mould trial
2023-11-21,C,MC-15,OP-030,BATCH-2023-0300,LOT-2023-2365,476,9.258,Wheel Hub Assy,441.0,207.5,Mould repair,24.0,LINE-1,Normal run
2021-01-12,A,MC-14,OP-029,BATCH-2024-0494,LOT-2021-1361,430,12.58,Disc Brake Caliper,492.0,57.3,Quality hold,2.0,LINE-6,Rush order
2022-11-20,C,MC-03,OP-024,BATCH-2022-0111,LOT-2024-461,318,8.278,Brake Pad Type B,526.0,0.0,Setup/changeover,2.0,LINE-5,Tooling replaced mid-shift
2023-01-21,B,MC-02,OP-008,BATCH-2022-0418,LOT-2024-710,449,9.928,Disc Brake Caliper,543.0,0.0,Quality hold,3.0,LINE-4,Rush order
2024-09-06,C,MC-01,OP-013,BATCH-2023-0037,LOT-2022-849,430,13.977,Drum Brake Assy,454.0,0.0,Hydraulic issue,,LINE-1,Speed reduced - vibration
2022-05-24,C,MC-01,OP-018,BATCH-2024-0015,LOT-2024-2020,605,15.186,Wheel Hub Assy,435.0,0.0,Tool change,25.0,LINE-2,Rush order
2022-09-26,C,MC-10,OP-030,BATCH-2024-0475,LOT-2022-1943,507,12.855,Brake Pad Type A,532.0,,,16.0,LINE-3,Customer priority
2023-02-20,A,MC-13,OP-015,BATCH-2021-0279,LOT-2021-194,333,12.941,Brake Pad Type B,,122.4,Machine fault,4.0,LINE-2,Rush order
2024-06-11,C,MC-15,OP-003,BATCH-2021-0164,LOT-2024-2057,261,9.015,Brake Pad Type A,327.0,138.1,,12.0,LINE-4,New mould trial
2021-03-23,B,MC-04,OP-027,BATCH-2021-0145,LOT-2023-041,395,13.007,Brake Pad Type B,540.0,0.0,Setup/changeover,4.0,LINE-5,Rush order
2021-09-06,B,MC-01,OP-028,BATCH-2024-0229,LOT-2022-1439,426,14.92,Brake Pad Type B,367.0,0.0,Setup/changeover,1.0,LINE-6,Customer priority
2021-06-21,A,MC-06,OP-023,BATCH-2022-0469,LOT-2024-1208,266,11.383,Clutch Plate,473.0,86.1,Machine fault,30.0,LINE-2,Speed reduced - vibration
2022-03-01,B,MC-02,OP-028,BATCH-2022-0060,LOT-2021-811,417,7.158,CV Joint,444.0,,Tool change,19.0,,Normal run
2023-05-01,A,MC-03,OP-017,BATCH-2024-0218,LOT-2024-211,302,12.906,Clutch Plate,471.0,0.0,,26.0,LINE-5,Normal run
2023-03-03,A,MC-11,OP-006,BATCH-2024-0201,LOT-2024-2066,335,10.421,Drum Brake Assy,386.0,171.6,Quality hold,19.0,,Customer priority
2023-04-30,B,MC-11,OP-017,BATCH-2023-0421,LOT-2023-1788,414,13.506,Clutch Plate,390.0,177.2,Mould repair,3.0,LINE-6,Tooling replaced mid-shift
2021-12-09,B,MC-13,OP-007,BATCH-2024-0258,LOT-2022-005,465,10.386,Brake Shoe,402.0,0.0,Setup/changeover,10.0,LINE-6,Tooling replaced mid-shift
2022-09-17,A,MC-15,OP-024,BATCH-2023-0220,LOT-2024-2460,410,9.326,Clutch Plate,,0.0,Operator break,10.0,LINE-5,Speed reduced - vibration
2024-02-07,B,MC-12,OP-008,BATCH-2022-0111,LOT-2024-710,312,15.626,Clutch Plate,452.0,0.0,Machine fault,16.0,LINE-6,Tooling replaced mid-shift
2024-10-05,A,MC-14,OP-023,BATCH-2023-0156,LOT-2023-1825,357,11.949,Brake Pad Type A,443.0,0.0,Mould repair,2.0,LINE-1,Customer priority
2021-01-17,B,MC-12,OP-025,BATCH-2021-0469,LOT-2021-1540,400,12.79,Brake Pad Type B,495.0,154.6,Power outage,8.0,LINE-1,Rush order
2023-04-10,B,MC-15,OP-021,BATCH-2023-0020,LOT-2021-393,372,10.291,Brake Disc,433.0,0.0,Machine fault,25.0,LINE-1,Rush order
2021-07-09,B,MC-08,OP-008,BATCH-2021-0016,LOT-2021-311,212,8.318,Brake Disc,532.0,0.0,Quality hold,20.0,LINE-2,Customer priority
2023-02-23,B,MC-12,OP-008,BATCH-2022-0479,LOT-2023-022,568,10.977,Drum Brake Assy,484.0,0.0,Material shortage,7.0,LINE-5,New mould trial
2022-07-20,A,MC-13,OP-013,BATCH-2021-0137,LOT-2023-1769,448,17.966,Clutch Plate,517.0,193.2,Quality hold,16.0,LINE-6,
2023-10-16,B,MC-15,OP-010,BATCH-2023-0363,LOT-2022-1752,408,9.493,Wheel Hub Assy,353.0,0.0,Operator break,18.0,LINE-3,Rush order
2023-09-19,C,MC-09,OP-019,BATCH-2022-0334,LOT-2022-1816,438,9.912,Disc Brake Caliper,364.0,49.0,,20.0,LINE-2,Normal run
2024-07-26,B,MC-13,OP-009,BATCH-2024-0061,LOT-2021-390,361,9.229,ABS Sensor Ring,551.0,,Power outage,19.0,LINE-4,Customer priority
